FID;PROVNO;KABKOTNO;KECNO;DESANO;PROVINSI;KABKOT;KECAMATAN;DESA;ID2013;Pdk;kelas
33;73;71;30;6;SULAWESI SELATAN;MAKASSAR;TAMALATE;BONGAYA;7371030006;9.436.000.000.000.000.000;Sedang
34;73;71;30;7;SULAWESI SELATAN;MAKASSAR;TAMALATE;PA'BAENG-BAENG;7371030007;9.436.000.000.000.000.000;Sedang
35;73;71;30;5;SULAWESI SELATAN;MAKASSAR;TAMALATE;JONGAYA;7371030005;9.436.000.000.000.000.000;Sedang
36;73;71;30;4;SULAWESI SELATAN;MAKASSAR;TAMALATE;BALANG BARU;7371030004;9.436.000.000.000.000.000;Sedang
37;73;71;30;10;SULAWESI SELATAN;MAKASSAR;TAMALATE;MANGASA;7371030010;9.436.000.000.000.000.000;Sedang
38;73;71;30;9;SULAWESI SELATAN;MAKASSAR;TAMALATE;PARANG TAMBUNG;7371030009;9.436.000.000.000.000.000;Sedang
39;73;71;111;4;SULAWESI SELATAN;MAKASSAR;TAMALANREA;KAPASA;7371111004;3.481.000.000.000.000.000;Rendah
40;73;71;111;6;SULAWESI SELATAN;MAKASSAR;TAMALANREA;BIRA;7371111006;3.481.000.000.000.000.000;Rendah
41;73;71;111;5;SULAWESI SELATAN;MAKASSAR;TAMALANREA;PARANG LOE;7371111005;3.481.000.000.000.000.000;Rendah
42;73;71;111;2;SULAWESI SELATAN;MAKASSAR;TAMALANREA;TAMALANREA JAYA;7371111002;3.481.000.000.000.000.000;Rendah
43;73;71;111;1;SULAWESI SELATAN;MAKASSAR;TAMALANREA;TAMALANREA INDAH;7371111001;3.481.000.000.000.000.000;Rendah
44;73;71;111;3;SULAWESI SELATAN;MAKASSAR;TAMALANREA;TAMALANREA;7371111003;3.481.000.000.000.000.000;Rendah
45;73;71;90;9;SULAWESI SELATAN;MAKASSAR;TALLO;UJUNG PANDANG BARU;7371090009;23.773.000.000.000.000.000;Sedang
46;73;71;90;14;SULAWESI SELATAN;MAKASSAR;TALLO;TALLO;7371090014;23.773.000.000.000.000.000;Sedang
47;73;71;90;13;SULAWESI SELATAN;MAKASSAR;TALLO;BULOA;7371090013;23.773.000.000.000.000.000;Sedang
48;73;71;90;8;SULAWESI SELATAN;MAKASSAR;TALLO;WALA-WALAYA;7371090008;23.773.000.000.000.000.000;Sedang
49;73;71;90;15;SULAWESI SELATAN;MAKASSAR;TALLO;LAKKANG;7371090015;23.773.000.000.000.000.000;Sedang
50;73;71;90;11;SULAWESI SELATAN;MAKASSAR;TALLO;PANNAMPU;7371090011;23.773.000.000.000.000.000;Sedang
51;73;71;90;12;SULAWESI SELATAN;MAKASSAR;TALLO;KALUKU BODOA;7371090012;23.773.000.000.000.000.000;Sedang
52;73;71;90;2;SULAWESI SELATAN;MAKASSAR;TALLO;LEMBO;7371090002;23.773.000.000.000.000.000;Sedang
53;73;71;90;4;SULAWESI SELATAN;MAKASSAR;TALLO;LA'LATANG;7371090004;23.773.000.000.000.000.000;Sedang
54;73;71;90;1;SULAWESI SELATAN;MAKASSAR;TALLO;BUNGA EJA BERU;7371090001;23.773.000.000.000.000.000;Sedang
55;73;71;90;3;SULAWESI SELATAN;MAKASSAR;TALLO;KALUKUANG;7371090003;23.773.000.000.000.000.000;Sedang
56;73;71;90;5;SULAWESI SELATAN;MAKASSAR;TALLO;RAPPOJAWA;7371090005;23.773.000.000.000.000.000;Sedang
57;73;71;90;6;SULAWESI SELATAN;MAKASSAR;TALLO;TAMMUA;7371090006;23.773.000.000.000.000.000;Sedang
58;73;71;90;7;SULAWESI SELATAN;MAKASSAR;TALLO;RAPPOKALLING;7371090007;23.773.000.000.000.000.000;Sedang
59;73;71;31;6;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;TIDUNG;7371031006;17.610.000.000.000.000.000;Sedang
60;73;71;31;3;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;MAPPALA;7371031003;17.610.000.000.000.000.000;Sedang
61;73;71;31;2;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;KARUNRUNG;7371031002;17.610.000.000.000.000.000;Sedang
62;73;71;31;5;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;BONTO MAKKIO;7371031005;17.610.000.000.000.000.000;Sedang
63;73;71;31;4;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;KASSI-KASSI;7371031004;17.610.000.000.000.000.000;Sedang
64;73;71;31;8;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;BUAKANA;7371031008;17.610.000.000.000.000.000;Sedang
